sku;nombre;descripcion;seller;cat_fcom;nombre_cat_fcom;estado_publicacion;precio1;precio2;precio3;precio4;tipo_precio1;tipo_precio2;fcom_url;fecha_publicacion;origen;jl1;jl1_nombre;jl2;jl2_nombre;jl3;jl3_nombre;mkp_nombre
6668859;MK Audifono Manos Libres - Awei Es910i Bl 94202 R;Audifono Manos Libres - Awei Es910i Bl 94202 R;Fernapet;cat7690003;Audifonos Bluetooth;Publicado;;; 7990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6668859_1?$producto308$;21/08/2018 00:28;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audifono Manos Libres - Awei Es910i Bl 94202 R
6674594;MK Audífono Manos Libres - Awei Te55vi 94246 F;Audífono Manos Libres - Awei Te55vi 94246 F;Fernapet;cat1820034;Manos Libres;Publicado;;;8990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674594_1?$producto308$;23/08/2018 22:03;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres - Awei Te55vi 94246 F
6674593;MK Audífono Manos Libres - Awei Te55vi 94246 N;Audífono Manos Libres - Awei Te55vi 94246 N;Fernapet;cat1820034;Manos Libres;Publicado;;;8990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674593_1?$producto308$;23/08/2018 22:04;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres - Awei Te55vi 94246 N
6674583;MK Audífono Manos Libres Awei Es900i 94203 F;Audífono Manos Libres Awei Es900i 94203 F;Fernapet;cat1820034;Manos Libres;Publicado;;;7990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674583_1?$producto308$;23/08/2018 22:12;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres Awei Es900i 94203 F
6674588;MK Audífono Manos Libres Awei Es900i 94203 P;Audífono Manos Libres Awei Es900i 94203 P;Fernapet;cat1820034;Manos Libres;Publicado;;;7990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674588_1?$producto308$;23/08/2018 22:06;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres Awei Es900i 94203 P
6552973;MK Scooter Electrico Patineta BT Autobalance  Bols;Scooter Electrico Patineta Bt Autobalance + Bolso;Fernapet;cat8910010;Eléctricos;Publicado;;      172990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552973_1?$producto308$;07/08/2018 00:47;Market Place;J03;DEPORTES;J0306;TIEMPO LIBRE;J030604;RODADOS;MK Scooter Electrico Patineta BT Autobalance  Bols
6552971;MK Scooter Electrico Patineta BT Autobalance  Bols;Scooter Electrico Patineta Bt Autobalance + Bolso;Fernapet;cat8910010;Eléctricos;Publicado;;      172990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552971_1?$producto308$;07/08/2018 00:47;Market Place;J03;DEPORTES;J0306;TIEMPO LIBRE;J030604;RODADOS;MK Scooter Electrico Patineta BT Autobalance  Bols
6552970;MK Scooter Electrico Patineta BT Autobalance  Bols;Scooter Electrico Patineta Bt Autobalance + Bolso;Fernapet;cat8910010;Eléctricos;Publicado;;      172990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552970_1?$producto308$;07/08/2018 00:47;Market Place;J03;DEPORTES;J0306;TIEMPO LIBRE;J030604;RODADOS;MK Scooter Electrico Patineta BT Autobalance  Bols
6552968;MK Scooter Electrico Patineta BT Autobalance  Bols;Scooter Electrico Patineta Bt Autobalance + Bolso;Fernapet;cat8910010;Eléctricos;Despublicado;;;172990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552968_1?$producto308$;07/08/2018 00:47;Market Place;J03;DEPORTES;J0306;TIEMPO LIBRE;J030604;RODADOS;MK Scooter Electrico Patineta BT Autobalance  Bols
6552967;MK Scooter Electrico Patineta BT Autobalance  Bols;Scooter Electrico Patineta Bt Autobalance + Bolso;Fernapet;cat8910010;Eléctricos;Publicado;;      172990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552967_1?$producto308$;07/08/2018 00:47;Market Place;J03;DEPORTES;J0306;TIEMPO LIBRE;J030604;RODADOS;MK Scooter Electrico Patineta BT Autobalance  Bols
6552966;MK Scooter Electrico Patineta BT Autobalance  Bols;Scooter Electrico Patineta Bt Autobalance + Bolso;Fernapet;cat8910010;Eléctricos;Publicado;;      172990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552966_1?$producto308$;07/08/2018 00:47;Market Place;J03;DEPORTES;J0306;TIEMPO LIBRE;J030604;RODADOS;MK Scooter Electrico Patineta BT Autobalance  Bols
6674631;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942;Audífono Inalambrico Bluetooth Awei A885 Bl 94208;Fernapet;;;Despublicado;;;  24990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674631_1?$producto308$;24/08/2018 03:36;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942
6674630;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942;Audífono Inalambrico Bluetooth Awei A885 Bl 94208;Fernapet;;;Despublicado;;;  24990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674630_1?$producto308$;24/08/2018 03:36;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942
6674629;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942;Audífono Inalambrico Bluetooth Awei A885 Bl 94208;Fernapet;;;Despublicado;;;  24990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674629_1?$producto308$;24/08/2018 03:36;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942
6674628;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942;Audífono Inalambrico Bluetooth Awei A885 Bl 94208;Fernapet;;;Despublicado;;;  24990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674628_1?$producto308$;24/08/2018 03:36;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Audífono Inalambrico Bluetooth Awei A885 Bl 942
6552959;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm;Toldo Plegable 3X3 Metro Metal y Lona;Fernapet;cat1180024;Terrazas;Publicado;;;   45990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6552959_1?$producto308$;07/08/2018 00:48;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x3 Metro Metal Y Lona Facil Arm
